,S_daily,sigmaS_daily,n_articles
2021-01-01,0.0,0.0,2
2021-01-02,0.039244443,0.32510734473338665,9
2021-01-03,-0.06847499,0.2303275244088293,4
2021-01-04,0.056125924,0.253443249242216,27
2021-01-05,0.012289471,0.42654182153523373,19
2021-01-06,0.14867,0.2768427804618965,10
2021-01-07,0.12754872,0.37830622734125663,39
2021-01-08,0.07923871,0.3040922624105783,31
2021-01-09,-0.089075,0.47455322823813834,8
2021-01-10,-0.09534,0.4113757194732372,5
2021-01-11,0.17051667,0.30258508496155145,18
2021-01-12,0.06823479,0.2552249101860461,23
2021-01-13,0.1691158,0.3740245444680316,19
2021-01-14,0.112878785,0.3176889992645328,33
2021-01-15,-0.036660004,0.3700058788668976,25
2021-01-16,0.14237499,0.49251062346282376,8
2021-01-17,0.032350004,0.39904039840170524,8
2021-01-18,0.015614286,0.4041363240624188,7
2021-01-19,0.10034999,0.2234480723874398,16
2021-01-20,0.12308,0.28770001661790046,15
2021-01-21,-0.09153684,0.26771719225832735,19
2021-01-22,0.12477333,0.323512845414193,15
2021-01-23,0.10808333,0.3283061224801227,12
2021-01-24,0.22543125,0.29227451706257307,16
2021-01-25,0.15518333,0.3190475183621767,24
2021-01-26,0.152,0.31831642220267903,22
2021-01-27,0.023459187,0.23471188662417455,49
2021-01-28,0.024100004,0.3315446755818644,34
2021-01-29,0.08404445,0.4689900954223418,27
2021-01-30,0.1219091,0.3894620044808524,11
2021-01-31,0.4457667,0.39808846681735877,3
2021-02-01,0.113184005,0.3243687373203295,25
2021-02-02,0.045048002,0.36746684839583516,25
2021-02-03,0.14299999,0.30564568329148434,18
2021-02-04,0.21270001,0.37809568926845427,17
2021-02-05,0.043992307,0.3022767414697452,13
2021-02-06,-0.0016249964,0.40428581946047026,12
2021-02-07,0.037416667,0.2769986080306861,12
2021-02-08,0.07295937,0.2960019862795279,64
2021-02-09,-0.065532,0.31715100797054924,50
2021-02-10,0.003649998,0.3721783347224375,28
2021-02-11,0.050897054,0.33006205417310563,34
2021-02-12,0.09303043,0.3279405584664685,23
2021-02-13,0.22670624,0.43012327988921095,16
2021-02-14,0.019883335,0.28676828987869457,12
